term,metric,256
all,brier_score,0.019789337
all,cross_entropy,0.056619022
all,ece,0.002342332
all,kl_divergence,0.054023496
all,expected_correctness,0.978676444
black,brier_score,0.006634566
black,cross_entropy,0.024632462
black,ece,0.001194397
black,kl_divergence,0.023172567
black,expected_correctness,0.992351261
gay,brier_score,0.004697807
gay,cross_entropy,0.024348416
gay,ece,0.006023589
gay,kl_divergence,0.017485573
gay,expected_correctness,0.99132845
indian,brier_score,0.009635664
indian,cross_entropy,0.032714717
indian,ece,0.002325177
indian,kl_divergence,0.030007111
indian,expected_correctness,0.988773247
orient,brier_score,0.091204635
orient,cross_entropy,0.192092989
orient,ece,2.35398E-05
orient,kl_divergence,0.192092989
orient,expected_correctness,0.908770183
queer,brier_score,0.002155692
queer,cross_entropy,0.028238967
queer,ece,0.004399776
queer,kl_divergence,0.018373438
queer,expected_correctness,0.99125244
