term,metric,512
all,brier_score,0.142396778
all,cross_entropy,0.263669759
all,ece,0.035965906
all,kl_divergence,0.255113393
all,expected_correctness,0.874649286
black,brier_score,0.034226943
black,cross_entropy,0.066555634
black,ece,0.016220635
black,kl_divergence,0.065008245
black,expected_correctness,0.974629402
gay,brier_score,0.089299075
gay,cross_entropy,0.211950853
gay,ece,0.034152515
gay,kl_divergence,0.205888614
gay,expected_correctness,0.928695142
indian,brier_score,0.119747996
indian,cross_entropy,0.294359922
indian,ece,0.058282501
indian,kl_divergence,0.286205024
indian,expected_correctness,0.919540226
orient,brier_score,0.431496412
orient,cross_entropy,0.662986577
orient,ece,0.100737157
orient,kl_divergence,0.632731259
orient,expected_correctness,0.595449746
queer,brier_score,0.140717223
queer,cross_entropy,0.278178632
queer,ece,0.023119834
queer,kl_divergence,0.266998678
queer,expected_correctness,0.854660928
